[461.4606018,324.6164551]
[160.7721558,129.9874268]
[187.4031372,127.0685196]
[215.6105042,123.7767258]
[245.6436157,120.4517746]
[277.188385,116.5965729]
[311.4385681,112.589035]
[348.4483643,108.1548462]
[388.1523132,102.8781586]
[162.5617828,163.4524994]
[189.4178467,161.62117]
[217.5359039,159.5088654]
[246.5831757,157.4113617]
[278.4864197,155.012085]
[312.6177673,152.5517883]
[349.5271606,149.6061859]
[388.6251831,146.3582001]
[164.9813538,196.4247742]
[191.5566711,195.3706665]
[219.2056122,194.3888397]
[248.6165161,193.6021576]
[279.8083496,192.5640411]
[313.6333008,191.4629974]
[350.4745789,190.5487671]
[389.5009155,189.069809]
[166.9013214,229.4268341]
[193.3071899,229.5218658]
[220.370285,229.5121307]
[250.0804138,229.4608765]
[281.6244507,229.5220642]
[315.3821106,230.3471832]
[351.5705872,230.5306702]
[390.3989868,230.6377716]
[168.6804657,261.5423279]
[194.6545563,262.5158081]
[222.5569305,263.4286804]
[251.5311432,265.1135559]
[282.3997803,266.5997925]
[316.5884399,267.7635193]
[352.4497986,269.8139038]
[390.7392883,272.4633179]
[170.5246429,293.4490967]
[196.5033569,295.3797913]
[223.7946472,297.690094]
[252.6329193,299.9510498]
[284.4119568,302.8097839]
[317.3440552,305.8678284]
[353.5628052,309.3039246]
[391.5075073,313.3457947]
[197.1694336,161.6065674]
[229.4902496,161.6563416]
[262.4933472,162.4208679]
[295.5245056,163.5301666]
[328.463623,163.7982025]
[362.5068665,164.4986877]
[397.4986572,164.8543091]
[432.6847534,165.4894409]
[197.4672852,194.6573029]
[229.5048523,195.360611]
[262.3980713,196.1450348]
[294.4779968,196.6465454]
[327.4360962,197.4308929]
[361.5713501,198.5035248]
[395.5426331,199.5836182]
[430.5739441,200.5382996]
[197.5147858,226.4061737]
[229.503006,227.3690338]
[261.566803,228.4109192]
[294.0223694,229.3899078]
[326.4300537,230.7284698]
[360.2876587,231.7373199]
[394.553833,233.4067993]
[429.2686157,234.526886]
[197.509491,258.36203]
[229.5214844,259.5018921]
[261.5549622,260.7809143]
[293.5259399,262.4764404]
[325.7150879,263.4598999]
[359.3696899,264.6950989]
[392.6706238,266.6642151]
[427.4297485,268.249939]
[197.4959106,290.5939331]
[229.2169037,291.3943787]
[260.4894104,292.7072449]
[292.3656006,294.6296387]
[325.3344726,295.818573]
[358.1983948,297.5208435]
[391.4026489,299.3181458]
[426.2213135,301.4967651]
[197.5165253,321.3895264]
[228.4648438,323.0685425]
[260.572052,324.4029236]
[291.9051514,326.3875732]
[324.5281982,328.1707153]
[357.4371338,329.6776428]
[390.5201721,331.9428711]
[424.3617554,334.6050415]
[186.188385,130.8366699]
[202.8560638,129.5743408]
[221.4608459,128.0387573]
[240.5519104,126.3208847]
[261.7391663,124.5144882]
[285.5385437,122.5473938]
[311.5124512,120.0994339]
[339.4389343,117.3828049]
[186.3882446,158.9173279]
[203.4489899,158.5706024]
[221.4864655,158.5034027]
[240.5042114,158.4723358]
[261.4744568,157.9332733]
[285.5227051,157.4595337]
[310.3827209,157.569458]
[338.5378113,156.4264679]
[186.7380981,186.6161041]
[203.5483551,187.4998322]
[221.5169067,188.553299]
[240.4968719,189.5031128]
[261.5154724,190.8688049]
[284.3743591,192.5042572]
[309.5344238,193.6161346]
[337.5013428,195.4755249]
[187.3339844,213.772049]
[203.6561127,215.7819977]
[221.5184326,218.1418304]
[240.5313873,220.4845581]
[261.2806396,223.1287384]
[284.6151123,225.83992]
[309.5072021,229.2225952]
[336.3661194,232.6299744]
[187.4163208,240.7189941]
[203.6739655,243.7157135]
[221.523819,247.1195679]
[240.2098999,250.7400818]
[260.4742737,254.6366577]
[283.363678,258.8562622]
[308.6976624,263.949646]
[334.5527649,269.4301147]
[187.3023529,267.3044434]
[203.6624603,271.262085]
[221.5377808,275.8087769]
[239.5222015,280.6128845]
[260.5184937,285.9733582]
[283.5243225,291.9021301]
[307.4327087,298.5290222]
[333.4497681,306.1888123]
[218.2549896,146.0877991]
[232.3474579,144.4107513]
[247.7041321,142.7177734]
[264.508606,140.7282562]
[282.5612183,138.6434937]
[303.5466308,136.3984833]
[326.5224915,133.5019836]
[351.9263611,130.3107452]
[218.4771576,173.1279755]
[232.8549194,172.5784912]
[248.4443665,172.4862976]
[264.5007019,172.4163361]
[282.4876404,171.4971313]
[303.4913025,171.5565338]
[326.4981079,170.4378815]
[351.5353394,170.2801819]
[219.3904877,199.8697662]
[233.4919281,200.5779572]
[248.5129394,201.9698486]
[264.4967957,203.050766]
[282.4911194,204.1694031]
[303.5241089,205.5887451]
[325.4938965,207.160553]
[350.4259949,209.1247101]
[219.5725403,226.0509186]
[233.5847778,228.1569214]
[248.5081482,230.5391998]
[264.5317688,233.122757]
[282.4767761,236.0870514]
[303.4197083,239.2612]
[325.5107117,242.9100342]
[349.7220154,247.1874542]
